rank,host_id,vulnerability_id,vuln_id,cvss,normalized_cvss,exploit_probability,attacker_reachability,distance_from_entry,critical_asset_exposure,asset_criticality,nearest_critical_distance,reachable_critical_asset_count,path_frequency,graph_importance,monte_carlo_host_compromise_probability,monte_carlo_critical_asset_probability,priority_score,associated_path
35,23,h23-v2,h23-v2,8.23544537960871,0.8235445379608709,0.7794306724510887,0.25,3,0.8133833333333335,1.0,2,5,0,0.5,0.971,0.991,64.894088,"[0, 12, 8, 23, 34, 5, 35]"
36,17,h17-v1,h17-v1,8.349208031774163,0.8349208031774162,0.7936510039717704,0.25,3,0.7925500000000001,1.0,3,5,0,0.5,0.9335,0.991,64.885186,[]
37,32,h32-v1,h32-v1,6.872347589458384,0.6872347589458384,0.609043448682298,0.5,1,0.8550500000000001,1.0,1,5,0,0.5,0.982,0.991,64.801814,"[0, 32, 10, 35]"
38,22,h22-v2,h22-v2,7.654476856564776,0.7654476856564776,0.706809607070597,0.3333333333333333,2,0.8133833333333335,1.0,2,5,0,0.5,0.9715,0.991,63.946396,"[0, 12, 22, 11, 5, 35]"
39,12,h12-v2,h12-v2,5.34649281959982,0.534649281959982,0.41831160244997745,0.5,1,0.8550500000000001,1.0,1,5,4,0.9,0.991,0.991,63.935468,"[0, 12, 35]"
40,24,h24-v2,h24-v2,7.643015689883523,0.7643015689883523,0.7053769612354404,0.3333333333333333,2,0.8133833333333335,1.0,2,5,0,0.5,0.9585,0.991,63.894821,"[0, 32, 24, 10, 35]"
41,32,h32-v2,h32-v2,6.396861055076069,0.639686105507607,0.5496076318845087,0.5,1,0.8550500000000001,1.0,1,5,0,0.5,0.982,0.991,62.662125,"[0, 32, 10, 35]"
42,15,h15-v1,h15-v1,7.477448043509491,0.7477448043509491,0.6846810054386864,0.25,3,0.8550500000000001,1.0,1,5,0,0.5,0.9345,0.991,62.524766,"[0, 12, 14, 15, 37, 38, 35]"
43,15,h15-v2,h15-v2,7.190957534568039,0.7190957534568039,0.6488696918210048,0.25,3,0.8550500000000001,1.0,1,5,0,0.5,0.9345,0.991,61.235559,"[0, 12, 14, 15, 37, 38, 35]"
44,5,h5-v2,h5-v2,7.125335847210038,0.7125335847210038,0.6406669809012547,0.25,3,0.8550500000000001,1.0,1,5,0,0.5,0.926,0.991,60.940261,"[0, 12, 35, 5, 13, 14, 8, 36]"
45,30,h30-v2,h30-v2,7.1219647246920665,0.7121964724692067,0.6402455905865083,0.25,3,0.8550500000000001,1.0,1,5,0,0.5,0.792,0.991,60.925091,[]
46,17,h17-v2,h17-v2,7.378956900278265,0.7378956900278265,0.6723696125347831,0.25,3,0.7925500000000001,1.0,3,5,0,0.5,0.9335,0.991,60.519056,[]
47,2,h2-v2,h2-v2,6.746979071464931,0.6746979071464931,0.5933723839331164,0.3333333333333333,2,0.8133833333333335,1.0,2,5,0,0.5,0.986,0.991,59.862656,"[0, 12, 2, 16, 5, 35]"
48,33,h33-v2,h33-v2,6.480185416593706,0.6480185416593706,0.5600231770742132,0.3333333333333333,2,0.8133833333333335,1.0,2,5,0,0.5,0.99,0.991,58.662084,"[0, 29, 33, 26, 3, 12, 35]"
49,16,h16-v1,h16-v1,6.612834596653423,0.6612834596653423,0.5766043245816779,0.25,3,0.8550500000000001,1.0,1,5,0,0.5,0.949,0.991,58.634006,"[0, 12, 2, 16, 5, 35]"
50,36,h36-v2,h36-v2,5.245450281989989,0.5245450281989988,0.4056812852487486,0.25,3,0.9800500000000001,1.0,0,5,2,0.7,0.9905,0.991,58.605776,"[0, 12, 8, 36]"
51,20,h20-v2,h20-v2,6.830087789089749,0.6830087789089749,0.6037609736362186,0.25,3,0.7925500000000001,1.0,3,5,0,0.5,0.809,0.991,58.049145,[]
52,37,h37-v1,h37-v1,3.905894553448865,0.3905894553448865,0.23823681918110812,0.3333333333333333,2,0.9800500000000001,1.0,0,5,3,0.8,0.9045,0.991,55.744442,"[0, 29, 37, 38, 35]"
53,6,h6-v2,h6-v2,6.194865898682741,0.6194865898682741,0.5243582373353426,0.25,3,0.8133833333333335,1.0,2,5,0,0.5,0.8515,0.991,55.71148,"[0, 32, 10, 6, 5, 35]"
54,28,h28-v2,h28-v2,6.523334432512041,0.652333443251204,0.5654168040640051,0.2,4,0.7925500000000001,1.0,3,5,0,0.5,0.6125,0.991,55.668755,"[0, 29, 19, 27, 28, 34, 5, 35]"
55,19,h19-v2,h19-v2,5.7710437127514,0.57710437127514,0.471380464093925,0.3333333333333333,2,0.8133833333333335,1.0,2,5,0,0.5,0.9905,0.991,55.470947,"[0, 29, 19, 3, 12, 35]"
56,6,h6-v1,h6-v1,6.138129208462523,0.6138129208462523,0.5172661510578154,0.25,3,0.8133833333333335,1.0,2,5,0,0.5,0.8515,0.991,55.456165,"[0, 32, 10, 6, 5, 35]"
57,18,h18-v1,h18-v1,6.24877242864415,0.624877242864415,0.5310965535805188,0.25,3,0.7925500000000001,1.0,3,5,0,0.5,0.8455,0.991,55.433226,"[0, 12, 3, 18, 27, 16, 5, 35]"
58,37,h37-v2,h37-v2,3.5924464022663223,0.3592446402266322,0.19905580028329029,0.3333333333333333,2,0.9800500000000001,1.0,0,5,3,0.8,0.9045,0.991,54.333925,"[0, 29, 37, 38, 35]"
59,24,h24-v1,h24-v1,5.469923628053554,0.5469923628053553,0.4337404535066942,0.3333333333333333,2,0.8133833333333335,1.0,2,5,0,0.5,0.9585,0.991,54.115906,"[0, 32, 24, 10, 35]"
60,13,h13-v2,h13-v2,5.7659302813254705,0.5765930281325471,0.4707412851656838,0.25,3,0.8133833333333335,1.0,2,5,0,0.5,0.728,0.991,53.78127,"[0, 12, 14, 13, 5, 35]"
61,3,h3-v2,h3-v2,5.0535909127486365,0.5053590912748637,0.38169886409357956,0.3333333333333333,2,0.8133833333333335,1.0,2,5,1,0.6,0.987,0.991,53.742409,"[0, 12, 3, 26, 25, 10, 35]"
62,7,h7-v2,h7-v2,5.420840591475519,0.542084059147552,0.4276050739344399,0.25,3,0.8550500000000001,1.0,1,5,0,0.5,0.9025,0.991,53.270033,"[0, 29, 39, 7, 11, 5, 35]"
63,14,h14-v1,h14-v1,5.245390068575552,0.5245390068575552,0.405673758571944,0.3333333333333333,2,0.8133833333333335,1.0,2,5,0,0.5,0.987,0.991,53.105505,"[0, 12, 14, 13, 5, 35]"
64,31,h31-v2,h31-v2,5.224306513980138,0.5224306513980138,0.40303831424751724,0.3333333333333333,2,0.8133833333333335,1.0,2,5,0,0.5,0.9755,0.991,53.010629,"[0, 12, 31, 21, 10, 35]"
65,4,h4-v1,h4-v1,5.069480341181865,0.5069480341181866,0.3836850426477332,0.3333333333333333,2,0.7925500000000001,1.0,3,5,0,0.5,0.7935,0.991,51.793078,"[0, 29, 26, 4, 18, 3, 12, 35]"
66,39,h39-v1,h39-v1,3.323479987654355,0.3323479987654355,0.16543499845679438,0.3333333333333333,2,0.9800500000000001,1.0,0,5,2,0.7,0.991,0.991,51.623577,"[0, 29, 39, 7, 11, 5, 35]"
67,11,h11-v2,h11-v2,5.107755101391244,0.5107755101391244,0.3884693876739055,0.25,3,0.8133833333333335,1.0,2,5,0,0.5,0.7115,0.991,50.819481,"[0, 12, 22, 11, 5, 35]"
68,9,h9-v2,h9-v2,4.866291631252061,0.4866291631252061,0.3582864539065076,0.25,3,0.8133833333333335,1.0,2,5,0,0.5,0.656,0.991,49.732896,"[0, 12, 2, 9, 16, 5, 35]"
69,13,h13-v1,h13-v1,4.68882585256977,0.468882585256977,0.33610323157122124,0.25,3,0.8133833333333335,1.0,2,5,0,0.5,0.728,0.991,48.9343,"[0, 12, 14, 13, 5, 35]"
70,25,h25-v2,h25-v2,3.9300287968499767,0.3930028796849977,0.2412535996062471,0.3333333333333333,2,0.8133833333333335,1.0,2,5,1,0.6,0.9465,0.991,48.68638,"[0, 12, 2, 25, 10, 35]"
71,28,h28-v1,h28-v1,4.862446738960278,0.4862446738960278,0.35780584237003477,0.2,4,0.7925500000000001,1.0,3,5,0,0.5,0.6125,0.991,48.19476,"[0, 29, 19, 27, 28, 34, 5, 35]"
72,22,h22-v1,h22-v1,4.049554517712382,0.4049554517712382,0.25619431471404774,0.3333333333333333,2,0.8133833333333335,1.0,2,5,0,0.5,0.9715,0.991,47.724245,"[0, 12, 22, 11, 5, 35]"
73,11,h11-v1,h11-v1,4.226931718069569,0.42269317180695687,0.2783664647586961,0.25,3,0.8133833333333335,1.0,2,5,0,0.5,0.7115,0.991,46.855776,"[0, 12, 22, 11, 5, 35]"
74,27,h27-v2,h27-v2,3.7894927440632906,0.3789492744063291,0.22368659300791133,0.25,3,0.8133833333333335,1.0,2,5,0,0.5,0.957,0.991,44.887301,"[0, 29, 19, 27, 16, 5, 35]"
75,4,h4-v2,h4-v2,3.4194904225333556,0.34194904225333556,0.17743630281666944,0.3333333333333333,2,0.7925500000000001,1.0,3,5,0,0.5,0.7935,0.991,44.368124,"[0, 29, 26, 4, 18, 3, 12, 35]"
76,30,h30-v1,h30-v1,3.288922356800038,0.3288922356800038,0.16111529460000473,0.25,3,0.8550500000000001,1.0,1,5,0,0.5,0.792,0.991,43.676401,[]
77,18,h18-v2,h18-v2,3.6024015395596627,0.36024015395596626,0.20030019244495784,0.25,3,0.7925500000000001,1.0,3,5,0,0.5,0.8455,0.991,43.524557,"[0, 12, 3, 18, 27, 16, 5, 35]"
78,20,h20-v1,h20-v1,3.173661517271861,0.3173661517271861,0.14670768965898262,0.25,3,0.7925500000000001,1.0,3,5,0,0.5,0.809,0.991,41.595227,[]
79,9,h9-v1,h9-v1,3.0138359728959787,0.30138359728959785,0.12672949661199734,0.25,3,0.8133833333333335,1.0,2,5,0,0.5,0.656,0.991,41.396845,"[0, 12, 2, 9, 16, 5, 35]"
80,34,h34-v2,h34-v2,3.04920206701861,0.304920206701861,0.13115025837732625,0.2,4,0.8133833333333335,1.0,2,5,0,0.5,0.717,0.991,40.555993,"[0, 12, 35, 5, 34, 23, 8, 36]"
